index,genres,keywords,original_title,title,cast,director
1865,Comedy,london england england daughter politician teenage girl,What a Girl Wants,What a Girl Wants,Amanda Bynes Colin Firth Kelly Preston Jonathan Pryce Oliver James,Dennie Gordon
1866,Horror Thriller,father son relationship scarecrow peasant farm immortality,Jeepers Creepers 2,Jeepers Creepers 2,Ray Wise Jonathan Breck Garikayi Mutambirwa Eric Nenninger Josh Hammond,Victor Salva
1867,Comedy Drama Romance,sex aquarium nudity one-night stand bride,Good Luck Chuck,Good Luck Chuck,Dane Cook Jessica Alba Dan Fogler Ellia English Lonny Ross,Mark Helfrich
1868,Action Crime Drama,robbery diamant intelligence bank robber thief,Cradle 2 the Grave,Cradle 2 the Grave,Jet Li DMX Kelly Hu Anthony Anderson Tom Arnold,Andrzej Bartkowiak
1869,Drama,london england suicide gay poetry aids,The Hours,The Hours,Nicole Kidman Julianne Moore Meryl Streep Stephen Dillane Miranda Richardson,Stephen Daldry
1870,Comedy Drama Family Romance,roommate twin sister sport boarding school twin brother,She's the Man,She's the Man,Amanda Bynes Channing Tatum Laura Ramsey Vinnie Jones David Cross,Andy Fickman
1871,Family Comedy,holiday france film director chaos clumsy fellow,Mr. Bean's Holiday,Mr. Bean's Holiday,Rowan Atkinson Max Baldry Emma de Caunes Willem Dafoe Karel Roden,Steve Bendelack
1872,Adventure Action Horror Science Fiction Thriller,snake expedition traitor research orchid,Anacondas: The Hunt for the Blood Orchid,Anacondas: The Hunt for the Blood Orchid,Johnny Messner KaDee Strickland Matthew Marsden Nicholas Gonzalez Eugene Byrd,Dwight H. Little
1873,Thriller Crime Drama,,Blood Ties,Blood Ties,Clive Owen Billy Crudup Marion Cotillard Mila Kunis Zoe Saldana,Guillaume Canet
1874,Drama,date loss of son love at first sight child labour guitar,August Rush,August Rush,Freddie Highmore Keri Russell Jonathan Rhys Meyers Terrence Howard Robin Williams,Kirsten Sheridan
1875,Drama History,duke historical figure treason catholic protestant,Elizabeth,Elizabeth,Cate Blanchett Geoffrey Rush Christopher Eccleston Joseph Fiennes Richard Attenborough,Shekhar Kapur
1876,Horror Comedy,route 66 puppet evil doll killer doll killer toys,Bride of Chucky,Bride of Chucky,Ed Gale Jennifer Tilly Brad Dourif Katherine Heigl Nick Stabile,Ronny Yu
1877,History Action Drama Adventure War,japan world war ii pearl harbor soldier imperial japan,Tora! Tora! Tora!,Tora! Tora! Tora!,Martin Balsam S\u00f4 Yamamura Joseph Cotten Tatsuya Mihashi E.G. Marshall,Richard Fleischer
1878,Adventure Fantasy Drama Comedy Music,pop pop culture pop star,Spice World,Spice World,Victoria Beckham Melanie Brown Emma Bunton Melanie Chisholm Geri Halliwell,Bob Spiers
1879,Comedy,babysitter duringcreditsstinger,The Sitter,The Sitter,Sam Rockwell Jonah Hill Max Records Ari Graynor J.B. Smoove,David Gordon Green
1880,Action Comedy Music,rap music hip-hop,Dance Flick,Dance Flick,Shoshana Bush Damon Wayans Jr. Essence Atkins Chris Elliott David Alan Grier,Damien Dante Wayans
1881,Drama Crime,prison corruption police brutality prison cell delinquent,The Shawshank Redemption,The Shawshank Redemption,Tim Robbins Morgan Freeman Bob Gunton Clancy Brown Mark Rolston,Frank Darabont
1882,Adventure Comedy,crocodile traffic jam los angeles stolen painting,Crocodile Dundee in Los Angeles,Crocodile Dundee in Los Angeles,Paul Hogan Linda Kozlowski Jere Burns Jonathan Banks Alec Wilson,Simon Wincer
1883,Comedy,sport handicap sexual favor star spangled banner bowling team,Kingpin,Kingpin,Woody Harrelson Randy Quaid Vanessa Angel Bill Murray Chris Elliott,Bobby Farrelly
1884,Thriller Crime Drama,gambling gun professor beating gambler,The Gambler,The Gambler,Mark Wahlberg John Goodman Brie Larson Michael Kenneth Williams Jessica Lange,Rupert Wyatt
1885,Comedy Drama,suicide drug addiction funeral dysfunctional family based on play,August: Osage County,August: Osage County,Meryl Streep Julia Roberts Chris Cooper Ewan McGregor Margo Martindale,John Wells
1886,Drama Comedy Family,sport figure skating teenage girl teen movie teenager,Ice Princess,Ice Princess,Michelle Trachtenberg Joan Cusack Amy Stewart Hayden Panettiere Kim Cattrall,Tim Fywell
1887,Comedy,new york shyness career flight romantic comedy,A Lot Like Love,A Lot Like Love,Ashton Kutcher Amanda Peet Aimee Garcia Taryn Manning Ali Larter,Nigel Cole
1888,Comedy Drama History,underdog olympic games ski jump biography sport,Eddie the Eagle,Eddie the Eagle,Taron Egerton Hugh Jackman Christopher Walken Ania Sowinski Mads Sj\u00f8g\u00e5rd Pettersen,Dexter Fletcher
1889,Drama,prison father son relationship homicide begnadigung release from prison,He Got Game,He Got Game,Denzel Washington Ray Allen Milla Jovovich Rosario Dawson Hill Harper,Spike Lee
1890,Romance Drama Comedy,sex addiction love mental institution patient psychiatrist,Don Juan DeMarco,Don Juan DeMarco,Johnny Depp Marlon Brando Faye Dunaway G\u00e9raldine Pailhas Bob Dishy,Jeremy Leven
1891,Drama Romance War,based on novel army love u.s. soldier,Dear John,Dear John,Amanda Seyfried Channing Tatum Henry Thomas Richard Jenkins Scott Porter,Lasse Hallstr\u00f6m
1892,Action Adventure Crime Mystery Thriller,hospital black ops reference to macgyver sucked into jet engine,The Losers,The Losers,Jeffrey Dean Morgan Zoe Saldana Chris Evans Idris Elba Columbus Short,Sylvain White
1893,Fantasy Horror Thriller,monster remake creature bathtub teeth,Don't Be Afraid of the Dark,Don't Be Afraid of the Dark,Katie Holmes Guy Pearce Bailee Madison Alan Dale Jack Thompson,Troy Nixey
1894,Action Thriller Crime,fbi revenge fbi agent,War,War,Jet Li Jason Statham John Lone Devon Aoki Luis Guzm\u00e1n,Philip G. Atwell
1895,Comedy Drama Romance,shyness brother sister relationship business man,Punch-Drunk Love,Punch-Drunk Love,Adam Sandler Emily Watson Philip Seymour Hoffman Luis Guzm\u00e1n Mary Lynn Rajskub,Paul Thomas Anderson
1896,Comedy,paris berlin alcohol sex nudity,EuroTrip,EuroTrip,Scott Mechlowicz Jacob Pitts Michelle Trachtenberg Travis Wester Vinnie Jones,Jeff Schaffer
1897,Crime Action Thriller,resistance undercover alcatraz stolen money,Half Past Dead,Half Past Dead,Steven Seagal Morris Chestnut Ja Rule Nia Peeples Claudia Christian,Don Michael Paul
1898,Comedy Family,holiday,Unaccompanied Minors,Unaccompanied Minors,Lewis Black Wilmer Valderrama Tyler James Williams Dyllan Christopher Brett Kelly,Paul Feig
1899,Drama,magazine writer drug fashion show,"Bright Lights, Big City","Bright Lights, Big City",Michael J. Fox Kiefer Sutherland Phoebe Cates Jason Robards Dianne Wiest,James Bridges
1900,Animation Family Fantasy,italy father son relationship pinocchio love school,The Adventures of Pinocchio,The Adventures of Pinocchio,Martin Landau Jonathan Taylor Thomas Genevi\u00e8ve Bujold Udo Kier Bebe Neuwirth,Steve Barron
1901,Drama Family,sport,The Greatest Game Ever Played,The Greatest Game Ever Played,Shia LaBeouf Stephen Dillane Josh Flitter Peter Firth Peyton List,Bill Paxton
1902,Thriller Science Fiction,experiment homicide key sacrifice research,The Box,The Box,Cameron Diaz James Marsden Frank Langella Michael Zegen James Rebhorn,Richard Kelly
1903,Drama Horror,maya civilization carnivorous plant canc\u00fan ruins,The Ruins,The Ruins,Shawn Ashmore Jonathan Tucker Jena Malone Laura Ramsey Joe Anderson,Carter Smith
1904,Comedy,gay parents kids relationship custody battle flush yoga,The Next Best Thing,The Next Best Thing,Madonna Rupert Everett Benjamin Bratt Malcolm Stumpf Josef Sommer,John Schlesinger
1905,Drama Horror Mystery Thriller,soul serial killer slasher teenager 3d,My Soul to Take,My Soul to Take,Max Thieriot John Magaro Denzel Whitaker Zena Grey Nick Lashaway,Wes Craven
1906,Comedy,porn actor pornographic video high school school party blonde,The Girl Next Door,The Girl Next Door,Emile Hirsch Elisha Cuthbert Timothy Olyphant James Remar Chris Marquette,Luke Greenfield
1907,Action Adventure Thriller,mistake in person dying and death twin brother russian mafia,Maximum Risk,Maximum Risk,Jean-Claude Van Damme Natasha Henstridge Jean-Hugues Anglade Zach Grenier Paul Ben-Victor,Ringo Lam
1908,Action Comedy Drama,robbery fool studies house uncle,Stealing Harvard,Stealing Harvard,Jason Lee Tom Green Leslie Mann Dennis Farina John C. McGinley,Bruce McCulloch
1909,Crime Thriller,biography based on true story gangster twins,Legend,Legend,Tom Hardy Emily Browning Christopher Eccleston David Thewlis Taron Egerton,Brian Helgeland
1910,Action Comedy,stuntman step father swimming pool aftercreditsstinger,Hot Rod,Hot Rod,Andy Samberg Isla Fisher Bill Hader Sissy Spacek Danny McBride,Akiva Schaffer
1911,Horror Thriller,shark attack louisiana dirty cop shark aftercreditsstinger,Shark Night,Shark Night,Sara Paxton Chris Carmack Joel David Moore Chris Zylka Dustin Milligan,David R. Ellis
1912,Drama,emigration irish-american hunger socially deprived family famine,Angela's Ashes,Angela's Ashes,Emily Watson Robert Carlyle Joe Breen Michael Legge Ciaran Owens,Alan Parker
1913,Drama,sport duringcreditsstinger,Draft Day,Draft Day,Kevin Costner Jennifer Garner Tom Welling Sam Elliott Terry Crews,Ivan Reitman
1914,Fantasy Horror Science Fiction Thriller,space marine vampire flying saucer comet alien,Lifeforce,Lifeforce,Steve Railsback Peter Firth Frank Finlay Mathilda May Patrick Stewart,Tobe Hooper
1915,Crime Drama History,president history conspiracy lawyer trial,The Conspirator,The Conspirator,Evan Rachel Wood James McAvoy Kevin Kline Robin Wright Alexis Bledel,Robert Redford
1916,Drama,skateboarding success independent film woman director,Lords of Dogtown,Lords of Dogtown,Emile Hirsch Victor Rasuk Rebecca De Mornay John Robinson Michael Angarano,Catherine Hardwicke
1917,Drama History,mining chile based on true story survival woman director,The 33,The 33,Antonio Banderas Rodrigo Santoro Juliette Binoche James Brolin Lou Diamond Phillips,Patricia Riggen
1918,Action Adventure Comedy Fantasy,kung fu chinatown magic mystery,Big Trouble in Little China,Big Trouble in Little China,Kurt Russell Kim Cattrall Dennis Dun James Hong Victor Wong,John Carpenter
1919,Comedy Romance,,Un Plan parfait,Fly Me to the Moon,Diane Kruger Dany Boon Alice Pol Robert Plagnol Jonathan Cohen,Pascal Chaumeil
1920,Action Drama,bank training beating mixed martial arts teacher,Warrior,Warrior,Tom Hardy Jennifer Morrison Nick Nolte Joel Edgerton Frank Grillo,Gavin O'Connor
1921,Drama Thriller,civil war fight presidential election freedom fighter chinese civil war,Michael Collins,Michael Collins,Liam Neeson Aidan Quinn Stephen Rea Alan Rickman Julia Roberts,Neil Jordan
1922,War Drama History,civil war independence troops army battle,Gettysburg,Gettysburg,Jeff Daniels Tom Berenger Martin Sheen Sam Elliott Stephen Lang,Ronald F. Maxwell
1923,Drama War,post traumatic stress  disorder iraq war veteran u.s. soldier woman director,Stop-Loss,Stop-Loss,Ryan Phillippe Abbie Cornish Joseph Gordon-Levitt Channing Tatum Josef Sommer,Kimberly Peirce
1924,Drama Mystery Thriller,alcohol detective dancer nightmare college,Abandon,Abandon,Katie Holmes Benjamin Bratt Charlie Hunnam Zooey Deschanel Fred Ward,Stephen Gaghan
1925,Drama Thriller,holiday prison thailand drug injustice,Brokedown Palace,Brokedown Palace,Claire Danes Kate Beckinsale Bill Pullman Jacqueline Kim Lou Diamond Phillips,Jonathan Kaplan
1926,Horror Thriller,,The Possession,The Possession,Jeffrey Dean Morgan Natasha Calis Madison Davenport Kyra Sedgwick Rob LaBelle,Ole Bornedal
1927,Comedy Romance Drama,role reversal mistaken identity train wreck,Mrs. Winterbourne,Mrs. Winterbourne,Shirley MacLaine Ricki Lake Brendan Fraser Jane Krakowski Loren Dean,Richard Benjamin
1928,Drama Thriller,southern usa rape bar wife husband relationship barn,Straw Dogs,Straw Dogs,James Marsden Kate Bosworth Alexander Skarsg\u00e5rd Dominic Purcell Laz Alonso,Rod Lurie
1929,Comedy Drama,flying 1970s false identity biography,The Hoax,The Hoax,Richard Gere Alfred Molina Marcia Gay Harden Hope Davis Julie Delpy,Lasse Hallstr\u00f6m
1930,Action Crime Thriller,undercover fbi biker cop motorcycle gang,Stone Cold,Stone Cold,Brian Bosworth Lance Henriksen William Forsythe Arabella Holzbog Sam McMurray,Craig R. Baxley
1931,Adventure Drama,post-apocalyptic dystopia paternity duringcreditsstinger,The Road,The Road,Viggo Mortensen Kodi Smit-McPhee Charlize Theron Robert Duvall Guy Pearce,John Hillcoat
1932,Action Adventure Comedy Fantasy Science Fiction,africa mercenary adventure female hero jungle girl,Sheena,Sheena,Tanya Roberts Ted Wass Donovan Scott Elizabeth of Toro France Zobda,John Guillermin
1933,Action Comedy,police high school undercover cop,Underclassman,Underclassman,Nick Cannon Roselyn S\u00e1nchez Shawn Ashmore Cheech Marin Kelly Hu,Marcos Siega
1934,Comedy Romance,,Say It Isn't So,Say It Isn't So,Chris Klein Heather Graham Orlando Jones Sally Field Richard Jenkins,J.B. Rogers
1935,Drama,new zealand utah life's dream independent film motorcycle,The World's Fastest Indian,The World's Fastest Indian,Anthony Hopkins Iain Rea Tessa Mitchell Aaron Murphy Tim Shadbolt,Roger Donaldson
1936,Action Comedy Fantasy Science Fiction,destroy dystopia reincarnation desert artial arts,Tank Girl,Tank Girl,Lori Petty Ice-T Naomi Watts Malcolm McDowell Iggy Pop,Rachel Talalay
1937,Comedy Crime,caper action,King's Ransom,King's Ransom,Anthony Anderson Jay Mohr Kellita Smith Brooke D'Orsay Donald Faison,Jeffrey W. Byrd
1938,Drama Mystery Science Fiction Thriller,fight blindness and impaired vision asylum leader society,Blindness,Blindness,Julianne Moore Mark Ruffalo Alice Braga Gael Garc\u00eda Bernal Danny Glover,Fernando Meirelles
1939,Action Adventure Fantasy Horror,vampire vampire hunter based on video game romania,BloodRayne,BloodRayne,Kristanna Loken Ben Kingsley Michelle Rodriguez Michael Madsen Matthew Davis,Uwe Boll
1940,Comedy Drama,flat mobile phone hamster insult dark comedy,Carnage,Carnage,Kate Winslet Jodie Foster Christoph Waltz John C. Reilly Elvis Polanski,Roman Polanski
1941,Drama Mystery Thriller,sex journalist journalism 1970s entertainer,Where the Truth Lies,Where the Truth Lies,Kevin Bacon Colin Firth Alison Lohman David Hayman Rachel Blanchard,Atom Egoyan
1942,Fantasy Family,clown music mimes cirque du soleil carnies,Cirque du Soleil: Worlds Away,Cirque du Soleil: Worlds Away,Erica Linz Igor Zaripov Matt Gillanders Jason Berrent Dallas Barnett,Andrew Adamson
1943,Drama,running olympic games sport athlete,Without Limits,Without Limits,Billy Crudup Donald Sutherland Monica Potter Jeremy Sisto Matthew Lillard,Robert Towne
1944,Comedy Drama Romance,new york based on novel historical figure theater 1930s,Me and Orson Welles,Me and Orson Welles,Zac Efron Claire Danes Christian McKay Imogen Poots Zoe Kazan,Richard Linklater
1945,Drama Romance Crime Mystery,painting auctioneer confidence game fine art honey pot,La migliore offerta,The Best Offer,Geoffrey Rush Jim Sturgess Sylvia Hoeks Donald Sutherland Maximilian Dirr,Giuseppe Tornatore
1946,Drama Crime,police brutality organized crime policeman illegal drugs murder investigation,The Bad Lieutenant: Port of Call - New Orleans,The Bad Lieutenant: Port of Call - New Orleans,Nicolas Cage Eva Mendes Val Kilmer Fairuza Balk Shawn Hatosy,Werner Herzog
1947,Animation Family,global warming sea turtle 3d,Sammy's avonturen: De geheime doorgang,A Turtle's Tale: Sammy's Adventures,Yuri Lowenthal Gemma Arterton Isabelle Fuhrman Melanie Griffith Tim Curry,Ben Stassen
1948,Comedy Drama,american football country house motorboat male female relationship thirty something,Les petits mouchoirs,Little White Lies,Fran\u00e7ois Cluzet Marion Cotillard Beno\u00eet Magimel Gilles Lellouche Jean Dujardin,Guillaume Canet
1949,Drama,independent film,Love Ranch,Love Ranch,Helen Mirren Joe Pesci Sergio Peris-Mencheta Gina Gershon Bai Ling,Taylor Hackford
1950,Family Adventure Animation,cat surrealism cartoon cat,La véritable histoire du Chat Botté,The True Story of Puss 'n Boots,J\u00e9r\u00f4me Deschamps Yolande Moreau Louise Wallon Arthur Deschamps Jean-Claude Bolle-Reddat,J\u00e9r\u00f4me Deschamps
1951,Family Animation,russia space mission space outer space dog,Белка и Стрелка. Звёздные собаки,Space Dogs,Anna Bolshova Evgeny Mironov Sergey Garmash Aleksandr Bashirov Elena Yakovleva,Inna Evlannikova
1952,Thriller Crime Drama,poetry lawyer drug smuggling drug trafficking red dress,The Counselor,The Counselor,Michael Fassbender Cameron Diaz Javier Bardem Goran Visnjic Pen\u00e9lope Cruz,Ridley Scott
1953,Romance Adventure Action History,ambush hero fight castle battlefield,Ironclad,Ironclad,James Purefoy Kate Mara Jason Flemyng Paul Giamatti Brian Cox,Jonathan English
1954,History Action Drama,biography napoleon bonaparte waterloo,Waterloo,Waterloo,Rod Steiger Christopher Plummer Orson Welles Jack Hawkins Virginia McKenna,Sergey Bondarchuk
1955,Crime Action Thriller,martial arts kung fu serial killer,一個人的武林,Kung Fu Jungle,Donnie Yen Charlie Yeung Wang Baoqiang Bai Bing Deep Ng,Teddy Chan
